Fund Ticker,Security Identifier,Symbol,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,N6596X109,NXPI ,"4,945,655","1,309,015,965.40",0.454,NXP Semiconductors NV,Common Stock,Information Technology,06/20/2024
QQQ,126408103,CSX ,"37,780,235","1,258,459,627.85",0.436,CSX Corp,Common Stock,Industrials,06/20/2024
QQQ,9066101,ABNB ,"8,447,885","1,249,273,233.80",0.433,Airbnb Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,70450Y103,PYPL ,"20,667,606","1,235,922,838.80",0.428,PayPal Holdings Inc,Common Stock,Financials,06/20/2024
QQQ,67103H107,ORLY ,"1,138,568","1,230,302,423.76",0.426,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,573874104,MRVL ,"16,671,041","1,220,987,042.84",0.423,Marvell Technology Inc,Common Stock,Information Technology,06/20/2024
QQQ,776696106,ROP ,"2,063,896","1,154,171,921.12",0.4,Roper Technologies Inc,Common Stock,Information Technology,06/20/2024
QQQ,693718108,PCAR ,"10,102,506","1,083,291,718.38",0.375,PACCAR Inc,Common Stock,Industrials,06/20/2024
QQQ,52769106,ADSK ,"4,125,409","1,004,578,345.59",0.348,Autodesk Inc,Common Stock,Information Technology,06/20/2024
QQQ,217204106,CPRT ,"18,541,013","1,001,400,112.13",0.347,Copart Inc,Common Stock,Industrials,06/20/2024
QQQ,60770K107,MRNA ,"7,368,150","990,279,360.00",0.343,Moderna Inc,Common Stock,Health Care,06/20/2024
QQQ,61174X109,MNST ,"20,067,738","976,897,485.84",0.339,Monster Beverage Corp,Common Stock,Consumer Staples,06/20/2024
QQQ,778296103,ROST ,"6,492,477","956,796,335.49",0.332,Ross Stores Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,595017104,MCHP ,"10,421,042","927,681,158.84",0.322,Microchip Technology Inc,Common Stock,Information Technology,06/20/2024
QQQ,49271V100,KDP ,"26,758,408","915,405,137.68",0.317,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,06/20/2024
QQQ,25537101,AEP ,"10,147,041","891,721,963.08",0.309,American Electric Power Co Inc,Common Stock,Utilities,06/20/2024
QQQ,46353108,AZN ,"11,229,158","882,162,652.48",0.306,AstraZeneca PLC ADR,American Depository Receipt,Health Care,06/20/2024
QQQ,704326107,PAYX ,"6,966,039","871,312,158.12",0.302,Paychex Inc,Common Stock,Industrials,06/20/2024
QQQ,98138H101,WDAY ,"4,030,564","864,918,728.76",0.3,Workday Inc,Common Stock,Information Technology,06/20/2024
QQQ,252131107,DXCM ,"7,434,316","862,901,058.12",0.299,Dexcom Inc,Common Stock,Health Care,06/20/2024
QQQ,3.50E+113,FTNT ,"14,714,279","852,545,325.26",0.295,Fortinet Inc,Common Stock,Information Technology,06/20/2024
